seed,n_samples,me3_delta_kraskov,me3_delta_mine,abs_diff
0,480,0.018915087166574238,0.0,0.018915087166574238
1,480,0.09746038520138828,0.0,0.09746038520138828
2,480,0.06731108654336128,0.0,0.06731108654336128
3,480,0.0,0.0,0.0
4,480,-0.018595402615674925,0.0,0.018595402615674925
